board_size,boards,games_per_board,total_games_matchup,S1,S2,S1_wins_as_P1,S1_wins_as_P2,S2_wins_as_P1,S2_wins_as_P2,ties,S1_win_rate_as_P1,S1_win_rate_as_P2,S2_win_rate_as_P1,S2_win_rate_as_P2,S1_overall_win_rate,S2_overall_win_rate,total_tie_rate,starter_win_rate
8,132,2,264,SafeChoice,Minimax,53,0,132,60,19,0.4015151515151515,0.0,1.0,0.45454545454545453,0.20075757575757575,0.7272727272727273,0.07196969696969698,0.7551020408163265
8,132,2,264,MCTS,Minimax,40,0,131,74,19,0.30303030303030304,0.0,0.9924242424242424,0.5606060606060606,0.15151515151515152,0.7765151515151515,0.07196969696969698,0.6979591836734694
9,132,2,264,Random,Greedy,0,0,132,132,0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.5
9,132,2,264,Random,SafeChoice,0,0,132,132,0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.5
9,132,2,264,Random,MCTS,0,0,132,132,0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.5
9,132,2,264,Random,Minimax,0,0,132,132,0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.5
9,132,2,264,Greedy,SafeChoice,59,0,132,63,10,0.44696969696969696,0.0,1.0,0.4772727272727273,0.22348484848484848,0.7386363636363636,0.03787878787878788,0.7519685039370079
9,132,2,264,Greedy,MCTS,106,24,102,22,10,0.803030303030303,0.18181818181818182,0.7727272727272727,0.16666666666666666,0.49242424242424243,0.4696969696969697,0.03787878787878788,0.8188976377952756
9,132,2,264,Greedy,Minimax,15,0,132,103,14,0.11363636363636363,0.0,1.0,0.7803030303030303,0.056818181818181816,0.8901515151515151,0.05303030303030303,0.588
9,132,2,264,SafeChoice,MCTS,121,67,56,8,12,0.9166666666666666,0.5075757575757576,0.42424242424242425,0.06060606060606061,0.7121212121212122,0.24242424242424243,0.045454545454545456,0.7023809523809523
9,132,2,264,SafeChoice,Minimax,36,0,132,82,14,0.2727272727272727,0.0,1.0,0.6212121212121212,0.13636363636363635,0.8106060606060606,0.05303030303030303,0.672
9,132,2,264,MCTS,Minimax,14,0,132,110,8,0.10606060606060606,0.0,1.0,0.8333333333333334,0.05303030303030303,0.9166666666666666,0.030303030303030304,0.5703125
